county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot,lag_1,log_lag_1,lag_2,log_lag_2,lag_3,log_lag_3,roll_mean_2,roll_mean_3,roll_std_3,log_roll_mean_2,log_roll_mean_3,diff_1,log_diff_1,pct_change,trend_up,national_kg,county_share_pct,z_score
Kitui,27.107,2022 H1,2022-03-31,2,1,2022,3.3360186556371607,544.844,0,10.82,2.469793011977952,73.4,4.309455941839047,,,18.9635,37.109,32.46681541204804,2.9029058338075564,3.371755869818053,16.287,0.8662256436592086,150.5268022181146,1,3621.407,0.7485,-0.7143040638023911
Kitui,76.377,2022 H2,2022-09-30,3,2,2022,4.348689578812867,544.844,0,27.107,3.3360186556371607,10.82,2.469793011977952,73.4,4.309455941839047,51.742,38.101333333333336,34.133364708644436,3.842354117225014,3.3848337488093265,49.269999999999996,1.0126709231757065,181.76116870181133,1,7249.725,1.0535,0.33841728122070497
Kitui,110.74,2023 H1,2023-03-31,4,1,2023,4.716174744031003,544.844,0,76.377,4.348689578812867,27.107,3.3360186556371607,10.82,2.469793011977952,93.5585,71.408,42.03733927117653,4.532432161421935,4.133627659493677,34.363,0.36748516521813546,44.99129319035835,1,11866.28,0.9332,1.072630059362143
Kitui,0.31,2023 H2,2023-09-30,5,2,2023,0.27002713721306015,544.844,0,110.74,4.716174744031003,76.377,4.348689578812867,27.107,3.3360186556371607,55.525,62.47566666666666,56.51222457427537,2.4931009406220315,3.1116304866856432,-110.42999999999999,-4.446147606817942,-99.7200650171573,0,13714.12,0.0023,-1.2868588412041346
Kitui,18.9,2024 H1,2024-03-31,6,1,2024,2.990719731730447,544.844,0,0.31,0.27002713721306015,110.74,4.716174744031003,76.377,4.348689578812867,9.604999999999999,43.31666666666666,59.125514233140784,1.6303734344717535,2.658973870991503,18.59,2.7206925945173865,5996.774193548386,1,13415.2,0.1409,-0.8896579115516208
Kitui,115.4,2024 H2,2024-09-30,7,2,2024,4.757032535297338,544.844,0,18.9,2.990719731730447,0.31,0.27002713721306015,110.74,4.716174744031003,67.15,44.870000000000005,61.783959892515796,3.8738761335138925,2.6725931347469483,96.5,1.766312803566891,510.5820105820107,1,14737.7,0.783,1.1721973714751455
Kitui,111.79,2025 H1,2025-03-31,8,1,2025,4.725527682651825,544.844,0,115.4,4.757032535297338,18.9,2.990719731730447,0.31,0.27002713721306015,113.595,82.03,54.70197162808669,4.741280108974582,4.157759983226536,-3.6099999999999994,-0.03150485264551239,-3.128249566724439,0,12752.52,0.8766,1.0950647541515537
Kwale,48.0,2021 H1,2021-03-31,0,1,2021,3.8918202981106265,1773.92,0,,,,,,,48.0,48.0,0.0,3.8918202981106265,3.8918202981106265,,,,0,6932.09297,0.6924,-0.44771549079467693
Kwale,1.05,2021 H2,2021-09-30,1,2,2021,0.7178397931503169,1773.92,0,48.0,3.8918202981106265,,,,,24.525,24.525,33.1986633767084,2.304830045630472,2.304830045630472,-46.95,-3.1739805049603094,-97.8125,0,4781.42,0.022,-0.5886942232342341
Kwale,0.8,2022 H1,2022-03-31,2,1,2022,0.5877866649021191,1773.92,0,1.05,0.7178397931503169,48.0,3.8918202981106265,,,0.925,16.616666666666667,27.179051369268453,0.652813229026218,1.7324822520543541,-0.25,-0.1300531282481978,-23.809523809523814,0,3621.407,0.0221,-0.5894449087104832
