county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Mandera,0.5,2024 H1,2024-03-31,6,1,2024,0.4054651081081644,44.335,0
Mandera,0.5,2024 H2,2024-09-30,7,2,2024,0.4054651081081644,44.335,0
Mandera,0.5,2025 H1,2025-03-31,8,1,2025,0.4054651081081644,44.335,0
Marsabit,36.54,2021 H1,2021-03-31,0,1,2021,3.6254070311583626,5058.71,1
Marsabit,9.5,2021 H2,2021-09-30,1,2,2021,2.3513752571634776,5058.71,1
Marsabit,1.0,2022 H1,2022-03-31,2,1,2022,0.6931471805599453,5058.71,1
Marsabit,2411.9,2022 H2,2022-09-30,3,2,2022,7.788584622578133,5058.71,1
Marsabit,0.5,2023 H1,2023-03-31,4,1,2023,0.4054651081081644,5058.71,1
Marsabit,1412.07,2023 H2,2023-09-30,5,2,2023,7.253519921443308,5058.71,1
Marsabit,83.0,2024 H1,2024-03-31,6,1,2024,4.430816798843313,5058.71,1
Marsabit,16.0,2024 H2,2024-09-30,7,2,2024,2.833213344056216,5058.71,1
Marsabit,1088.2,2025 H1,2025-03-31,8,1,2025,6.993198760799604,5058.71,1
Meru,304.53,2021 H1,2021-03-31,0,1,2021,5.722047973463045,842.4209999999999,0
Meru,159.09,2021 H2,2021-09-30,1,2,2021,5.075736157090003,842.4209999999999,0
Meru,8.366,2022 H1,2022-03-31,2,1,2022,2.23708611076135,842.4209999999999,0
Meru,49.455,2022 H2,2022-09-30,3,2,2022,3.921081849916492,842.4209999999999,0
Meru,110.47,2023 H1,2023-03-31,4,1,2023,4.713755496401532,842.4209999999999,0
Meru,1.73,2023 H2,2023-09-30,5,2,2023,1.0043016091968684,842.4209999999999,0
Meru,36.5,2024 H1,2024-03-31,6,1,2024,3.624340932976365,842.4209999999999,0
Meru,49.0,2024 H2,2024-09-30,7,2,2024,3.912023005428146,842.4209999999999,0
Meru,123.28,2025 H1,2025-03-31,8,1,2025,4.822537084524846,842.4209999999999,0
Migori,741.0,2021 H1,2021-03-31,0,1,2021,6.60934924316738,9943.53,1
Migori,170.0,2021 H2,2021-09-30,1,2,2021,5.14166355650266,9943.53,1
Migori,219.0,2022 H1,2022-03-31,2,1,2022,5.393627546352361,9943.53,1
Migori,981.2,2022 H2,2022-09-30,3,2,2022,6.889794953605144,9943.53,1
Migori,1170.0,2023 H1,2023-03-31,4,1,2023,7.065613363597717,9943.53,1
Migori,1786.9,2023 H2,2023-09-30,5,2,2023,7.4887970257577745,9943.53,1
Migori,2504.0,2024 H1,2024-03-31,6,1,2024,7.826044013518965,9943.53,1
Migori,1357.4,2024 H2,2024-09-30,7,2,2024,7.214062815557083,9943.53,1
Migori,1014.03,2025 H1,2025-03-31,8,1,2025,6.922673447689345,9943.53,1
Mombasa,50.508,2021 H1,2021-03-31,0,1,2021,3.9417371354115374,3755.2780000000002,0
Mombasa,61.26,2021 H2,2021-09-30,1,2,2021,4.131319165013462,3755.2780000000002,0
Mombasa,4.52,2022 H1,2022-03-31,2,1,2022,1.7083778602890038,3755.2780000000002,0
Mombasa,44.21,2022 H2,2022-09-30,3,2,2022,3.811318301306514,3755.2780000000002,0
Mombasa,11.78,2023 H1,2023-03-31,4,1,2023,2.5478814489493886,3755.2780000000002,0
Mombasa,7.94,2023 H2,2023-09-30,5,2,2023,2.190535589185423,3755.2780000000002,0
Mombasa,960.3,2024 H1,2024-03-31,6,1,2024,6.86828653507177,3755.2780000000002,0
Mombasa,2069.4,2024 H2,2024-09-30,7,2,2024,7.635497104306581,3755.2780000000002,0
Mombasa,545.36,2025 H1,2025-03-31,8,1,2025,6.303278099134691,3755.2780000000002,0
Muranga,58.85,2021 H1,2021-03-31,0,1,2021,4.091841432003982,1273.237,0
Muranga,26.14,2021 H2,2021-09-30,1,2,2021,3.301008654406723,1273.237,0
Muranga,26.665,2022 H1,2022-03-31,2,1,2022,3.320168076350073,1273.237,0
Muranga,9.422,2022 H2,2022-09-30,3,2,2022,2.343918956487023,1273.237,0
Muranga,97.68,2023 H1,2023-03-31,4,1,2023,4.591882291661156,1273.237,0
Muranga,107.58,2023 H2,2023-09-30,5,2,2023,4.687487228477305,1273.237,0
Muranga,70.0,2024 H1,2024-03-31,6,1,2024,4.2626798770413155,1273.237,0
Muranga,473.8,2024 H2,2024-09-30,7,2,2024,6.162893662735513,1273.237,0
Muranga,403.1,2025 H1,2025-03-31,8,1,2025,6.001662372084428,1273.237,0
Nairobi,1640.436,2021 H1,2021-03-31,0,1,2021,7.403326747451747,12201.194,1
Nairobi,326.4,2021 H2,2021-09-30,1,2,2021,5.791182664937034,12201.194,1
Nairobi,276.566,2022 H1,2022-03-31,2,1,2022,5.626058742745392,12201.194,1
Nairobi,691.722,2022 H2,2022-09-30,3,2,2022,6.540628764304797,12201.194,1
Nairobi,2040.99,2023 H1,2023-03-31,4,1,2023,7.621680101552973,12201.194,1
Nairobi,1388.04,2023 H2,2023-09-30,5,2,2023,7.236368140035882,12201.194,1
Nairobi,1921.3,2024 H1,2024-03-31,6,1,2024,7.561277664758815,12201.194,1
Nairobi,1848.6,2024 H2,2024-09-30,7,2,2024,7.522724678478058,12201.194,1
Nairobi,2067.14,2025 H1,2025-03-31,8,1,2025,7.634404931596084,12201.194,1
Nakuru,56.902,2021 H1,2021-03-31,0,1,2021,4.058751926296712,6147.333,1
Nakuru,371.45,2021 H2,2021-09-30,1,2,2021,5.920102800622285,6147.333,1
Nakuru,375.993,2022 H1,2022-03-31,2,1,2022,5.932226619636372,6147.333,1
Nakuru,863.708,2022 H2,2022-09-30,3,2,2022,6.762391877687205,6147.333,1
Nakuru,1568.89,2023 H1,2023-03-31,4,1,2023,7.358760832193511,6147.333,1
Nakuru,586.18,2023 H2,2023-09-30,5,2,2023,6.375331416774748,6147.333,1
Nakuru,543.1,2024 H1,2024-03-31,6,1,2024,6.29913305349188,6147.333,1
Nakuru,189.1,2024 H2,2024-09-30,7,2,2024,5.247550249494384,6147.333,1
Nakuru,1592.01,2025 H1,2025-03-31,8,1,2025,7.37338058735425,6147.333,1
Nandi,2.31,2021 H1,2021-03-31,0,1,2021,1.1969481893889715,173.345,0
Nandi,28.47,2021 H2,2021-09-30,1,2,2021,3.3833727967496032,173.345,0
